day,backend,strategy,logical_error_rate_mean,logical_error_rate_std,logical_error_rate_count,fano_factor_mean,avg_t1_us_mean,avg_t2_us_mean
3,ibm_kyoto,baseline_static,0.0002895125902222159,0.0003207145494635727,9,0.857876719906245,174.4773344087879,100.3431607665341
3,ibm_kyoto,drift_aware_full_stack,0.00012333742538066106,4.6822372840778094e-05,9,0.8847229320788939,184.73959086485127,101.88646198419318
3,ibm_osaka,baseline_static,0.0002781857704595989,0.00028402378395172765,9,0.8413780448934617,161.03364610188606,89.52079407244192
3,ibm_osaka,drift_aware_full_stack,0.00013566680079388682,6.184265450952359e-05,9,0.8595959982262049,156.9701002841719,92.87286444005976
4,ibm_brisbane,baseline_static,0.00037888149223306585,0.0004629991185896537,9,0.8348203911553885,150.54849194342356,80.80772050763395
4,ibm_brisbane,drift_aware_full_stack,0.00013434190686330036,6.0159992520534867e-05,9,0.866110355959023,154.28142899512787,86.38240083440569
4,ibm_kyoto,baseline_static,0.00023242761368104766,0.00021919152962316028,9,0.8677149052862805,175.98676291183594,95.48962154483222
4,ibm_kyoto,drift_aware_full_stack,0.00010588085570161269,1.5636413709324632e-05,9,0.8894851727462006,186.00366173436416,95.4262290080227
4,ibm_osaka,baseline_static,0.0003452135894229774,0.0003931438877454399,9,0.8272793191499106,151.415609487738,83.75299614883167
4,ibm_osaka,drift_aware_full_stack,0.00013278249847624142,6.735857647069109e-05,9,0.8684070437721572,160.91058926436918,81.63249108812597
5,ibm_brisbane,baseline_static,0.00032054177864577685,0.00031367152325784006,9,0.8435172411397738,155.74301878672583,79.56770802293714
5,ibm_brisbane,drift_aware_full_stack,0.00013063403290407735,7.500191989258128e-05,9,0.8501841201729322,146.10855749968368,78.34478049829204
5,ibm_kyoto,baseline_static,0.00029259910373857946,0.00029806762004974007,9,0.8632360797122721,175.6681998189987,101.32326959502375
5,ibm_kyoto,drift_aware_full_stack,0.00011137977647623631,2.040547257736681e-05,9,0.8776989829722056,168.1515146684845,96.38688719817384
5,ibm_osaka,baseline_static,0.00038524325824183786,0.0004465654737576142,9,0.8296034652290104,159.01645544646829,86.15488654918639
5,ibm_osaka,drift_aware_full_stack,0.0001294342923020936,6.208024628564894e-05,9,0.8651244507708218,161.5686365742558,88.69368274461564
6,ibm_brisbane,baseline_static,0.0003414430400277335,0.00036736820069149096,9,0.8232996579552281,145.03266182216186,81.47559081637509
6,ibm_brisbane,drift_aware_full_stack,0.00012104382960248685,3.701521943923032e-05,9,0.8695860711874335,153.20488306550473,80.24485008048224
6,ibm_kyoto,baseline_static,0.00024485342208412097,0.00021153966498640658,9,0.8661243711933013,181.17201493484708,106.50188271449449
6,ibm_kyoto,drift_aware_full_stack,0.0001188378072078229,3.714533854418383e-05,9,0.874098653077582,165.13322549400698,98.84935138232066
6,ibm_osaka,baseline_static,0.0002985002853914602,0.00027649102504519315,9,0.8347554037222421,151.96640316185795,95.30869232218812
6,ibm_osaka,drift_aware_full_stack,0.0001461577216029326,7.14160529586979e-05,9,0.8584079905033192,153.5472620982088,92.83326904850351
7,ibm_brisbane,baseline_static,0.0003952191579647267,0.0004920096961261051,9,0.8318504654174448,145.9295646260216,73.61771329162838
7,ibm_brisbane,drift_aware_full_stack,0.00013982267006136583,7.297326405375126e-05,9,0.8614686717760902,151.92031729121533,77.79739293693058
7,ibm_kyoto,baseline_static,0.00025901290776480997,0.0002665821864769064,9,0.8667229291290579,180.03510339621357,99.43687293986697
7,ibm_kyoto,drift_aware_full_stack,0.00011761249964671002,3.9407283929130394e-05,9,0.882062782572785,179.91413891449812,97.83507788328698
7,ibm_osaka,baseline_static,0.00040228984461404197,0.0005284078663450928,9,0.8393014662751872,157.37522301640615,87.81095388360751
7,ibm_osaka,drift_aware_full_stack,0.0001319702511928625,6.141008426407355e-05,9,0.8630765688244444,158.62598142583067,89.70421149821271
8,ibm_brisbane,baseline_static,0.00046779122227063225,0.0007765863195371928,9,0.8356225756707583,157.03254896363566,83.15261534608321
8,ibm_brisbane,drift_aware_full_stack,0.0001465015563295135,8.602442112698195e-05,9,0.8583541940288362,149.79544142643695,78.1840184517094
8,ibm_kyoto,baseline_static,0.00025629221497746533,0.00024201312506910778,9,0.8627263341155339,179.30938555659253,100.0511984774074
8,ibm_kyoto,drift_aware_full_stack,0.00011595687880547593,3.2299584256840374e-05,9,0.8808043322913262,177.5382591499561,92.02721991649186
8,ibm_osaka,baseline_static,0.0003909290250257928,0.0004435907636158553,9,0.8337069913029487,155.88630304782282,83.1066018759358
