experiment,workload,seed,method,budget,search_cost_units,search_cost_modeled_s,search_evaluations,unique_candidates,fidelity_counts,search_wall_s,peak_rss_mb,cfg_p,cfg_opt_iters,cfg_warm_start,cfg_shots,cfg_mitigation,cfg_compile_level,cfg_placement,quality_loss,delay_s,deadline_miss,infeasible,energy_j,money,cost_scalar,realized_fail,utility,utility_p10,utility_cvar10,utility_min,service_violation,cfg_n_qubits,cfg_layers,cfg_reupload,cfg_train_iters,cfg_lr
clearaccept_confirmatory,qaoa,105,capo_mf_no_rescore,30.0,32.16,364.32524190087724,54,26,"{""0"": 18, ""1"": 6, ""2"": 30}",0.21193350001703948,176.03125,2.0,20.0,1.0,128,0,0,qpu_B,0.05328144472826729,0.24558618460661022,0.025,0.0,5.128,0.000128,0.28275418460661017,0.0,-0.1582431926322037,-0.19742645638401932,-0.847537874911409,-2.0466999988350936,0.025,,,,,
clearaccept_confirmatory,qaoa,105,joint_mf,30.0,44.16,292.38202325010275,66,26,"{""0"": 18, ""1"": 6, ""2"": 42}",0.16784829192329198,176.03125,3.0,20.0,1.0,2048,0,0,classical,0.022613209622772322,0.004842056863708422,0.0,0.0,0.03873645490966737,0.0,0.005074475593166426,0.0,-0.023201323988960892,-0.07538846711661605,-0.0891025684953008,-0.12928992548001544,0.0,,,,,
clearaccept_confirmatory,qaoa,105,capo_chance,30.0,43.79999999999997,6.618781532330493,132,18,"{""0"": 90, ""2"": 42}",0.043118540896102786,176.03125,2.0,20.0,1.0,512,0,0,remote_sim,0.00217586542019942,0.07258154657489387,0.0,0.0,1.262288,5.049152000000001e-08,0.08015779915089385,0.0,-0.015102818321271961,-0.019484206582558474,-0.03511922949987792,-0.040164073525948904,0.0,,,,,
clearaccept_confirmatory,qaoa,105,device_aware_sequential,30.0,42.0,567.4629276787778,42,22,"{""2"": 42}",0.4311485410435125,176.03125,2.0,40.0,0.0,512,1,1,classical,0.022613209622772322,0.004812634899280965,0.0,0.0,0.03850107919424772,0.0,0.005043641374446452,0.0,-0.02319745078564306,-0.0753995638361358,-0.08909500969131634,-0.12928428704025455,0.0,,,,,
clearaccept_confirmatory,qaoa,105,fixed_design_scheduler,30.0,42.0,394.8116211210042,42,10,"{""2"": 42}",0.26328745810315013,176.03125,1.0,40.0,0.0,2048,0,2,classical,0.022613209622772322,0.004846593801630661,0.0,0.0,0.03877275041304529,0.0,0.005079230304108932,0.0,-0.023202235619377395,-0.07538326272738319,-0.08909697968873129,-0.12926749526169626,0.0,,,,,
clearaccept_confirmatory,qaoa,105,classical_only,30.0,0.0,0.0,0,0,{},5.166046321392059e-06,176.03125,1.0,40.0,0.0,512,0,1,classical,0.022613209622772322,0.004848082870012149,0.0,0.0,0.038784662960097194,0.0,0.005080790847772732,0.0,-0.023201660151642572,-0.07538572522012181,-0.08909092214560474,-0.12925376725886012,0.0,,,,,
clearaccept_confirmatory,qaoa,106,sequential,30.0,42.00000000000002,190.01804546616546,84,39,"{""1"": 60, ""2"": 24}",0.5338342079194263,176.03125,1.0,80.0,0.0,2048,0,1,classical,0.07768008840982257,0.004867375115281902,0.0,0.0,0.03893900092225522,0.0,0.005101009120815433,0.0,-0.07823041668783773,-0.17297782781914928,-0.2364779806035891,-0.288931473898507,0.0,,,,,
clearaccept_confirmatory,qaoa,106,capo_joint_only,30.0,30.0,299.02428766206185,30,10,"{""2"": 30}",0.4165766249643639,176.03125,1.0,80.0,1.0,2048,1,0,remote_sim,0.0027508381952149876,0.0920989822313365,0.0,0.0,1.2561440000000001,5.024576000000001e-08,0.09963835851933649,0.0,-0.016230942052031495,-0.01725477229454798,-0.047317815876030074,-0.12998844074375063,0.0,,,,,
clearaccept_confirmatory,qaoa,106,random,30.0,42.0,469.1314750213198,42,10,"{""2"": 42}",0.37247541605029255,176.03125,1.0,40.0,0.0,128,1,1,classical,0.07768008840982257,0.004809078527614474,0.0,0.0,0.038472628220915794,0.0,0.0050399142969399695,0.0,-0.07822422367350793,-0.17297711881495523,-0.23648239972395646,-0.28894439374425035,0.0,,,,,
clearaccept_confirmatory,qaoa,106,capo_mf_no_rescore,30.0,32.16,110.30561768992854,54,26,"{""0"": 18, ""1"": 6, ""2"": 30}",0.20132883405312896,176.078125,3.0,40.0,1.0,128,0,2,classical,0.07768008840982257,0.004814437823370099,0.0,0.0,0.03851550258696079,0.0,0.005045530838891863,0.0,-0.07822399458007168,-0.17301992454388304,-0.23646715861659137,-0.2889181680194655,0.0,,,,,
clearaccept_confirmatory,qaoa,106,joint_mf,30.0,44.16,249.74275441560488,66,25,"{""0"": 18, ""1"": 6, ""2"": 42}",0.3426704159937799,176.078125,2.0,80.0,1.0,2048,0,2,remote_sim,0.0,0.2821235582313365,0.05,0.0,1.262288,5.049152000000001e-08,0.2896998108073364,0.0,-0.12586027003289385,-0.03927029817789896,-1.034291080066434,-2.0272243644186108,0.05,,,,,
clearaccept_confirmatory,qaoa,106,capo_chance,30.0,42.09999999999994,5.458166020752948,194,31,"{""0"": 155, ""2"": 39}",0.04696874995715916,176.078125,1.0,20.0,1.0,2048,0,1,remote_sim,0.0027508381952149876,0.13209898223133648,0.0,0.0,1.2561440000000001,5.024576000000001e-08,0.1396383585193365,0.0,-0.018829193319925892,-0.021574203063679423,-0.05162971624992644,-0.13452332307916062,0.0,,,,,
clearaccept_confirmatory,qaoa,106,device_aware_sequential,30.0,42.0,386.1647811675397,42,20,"{""2"": 42}",0.2359336249064654,176.078125,1.0,40.0,0.0,128,1,1,classical,0.07768008840982257,0.004840464040171355,0.0,0.0,0.03872371232137084,0.0,0.0050728063140995806,0.0,-0.07822750773981912,-0.17298320157366998,-0.23648624475338273,-0.2889473111399027,0.0,,,,,
clearaccept_confirmatory,qaoa,106,fixed_design_scheduler,30.0,42.0,212.40519768984805,42,10,"{""2"": 42}",0.26635104103479534,176.078125,1.0,40.0,0.0,512,1,0,classical,0.07768008840982257,0.004905187655822374,0.0,0.0,0.03924150124657899,0.0,0.005140636663301848,0.0,-0.07823433172173175,-0.17301768250977184,-0.23648741973735413,-0.2889375554216292,0.0,,,,,
clearaccept_confirmatory,qaoa,106,classical_only,30.0,0.0,0.0,0,0,{},5.042064003646374e-06,176.078125,1.0,40.0,0.0,512,0,1,classical,0.07768008840982257,0.0048426251305500045,0.0,0.0,0.038741001044400036,0.0,0.005075071136816404,0.0,-0.07822749050970954,-0.17303132954007217,-0.23646484871660942,-0.2889211472598,0.0,,,,,
clearaccept_confirmatory,qaoa,107,sequential,30.0,42.00000000000002,162.20489941074482,84,42,"{""1"": 60, ""2"": 24}",0.5013160409871489,176.078125,2.0,20.0,0.0,512,1,0,classical,0.01110618036497837,0.004835104613448493,0.0,0.0,0.038680836907587945,0.0,0.005067189634894021,0.0,-0.011604744629615473,-0.04237728099216798,-0.044808251161850554,-0.044967783750911004,0.0,,,,,
clearaccept_confirmatory,qaoa,107,capo_joint_only,30.0,30.0,167.8329081214094,30,10,"{""2"": 30}",0.18072587507776916,176.078125,2.0,40.0,1.0,2048,0,0,remote_sim,0.0,0.0416188808082211,0.0,0.0,1.262288,5.049152000000001e-08,0.0491951333842211,0.0,-0.009863979433888486,-0.011554278096718447,-0.013100440724331142,-0.01420979572885657,0.0,,,,,
clearaccept_confirmatory,qaoa,107,random,30.0,42.0,212.2902404595275,42,10,"{""2"": 42}",0.13844833301845938,176.078125,2.0,80.0,1.0,128,1,0,classical,0.01110618036497837,0.0048343076632590964,0.0,0.0,0.03867446130607277,0.0,0.005066354431095534,0.0,-0.011604329954395292,-0.04237655644029435,-0.04482076906914825,-0.044944757358417145,0.0,,,,,
