seed,policy,windows,certificate_issued,dominant_selected_path,mean_interference,mean_backlog,dropped_demand,switch_rate,deadline_miss_rate,fallback_rate,action_loss
18,local_greedy,40,False,local_greedy,0.3173647362649989,1.1823110840899407,33.61234003671136,0.00625,0.0,0.0,0.3173647362649989
18,hindsight_oracle,40,False,local_greedy,0.30954625267728275,1.268257948893884,31.01334342644595,0.0125,0.0,0.0,0.30954625267728275
19,capo_cert,40,True,local_exact,0.33474122798804096,1.3505101705396438,29.302310664672042,0.040625,0.0,0.0,0.33474122798804096
19,expected_loss,40,False,local_exact,0.33474122798804096,1.3505101705396438,29.302310664672042,0.040625,0.0,0.0,0.33474122798804096
19,empirical_chance,40,False,local_exact,0.33474122798804096,1.3505101705396438,29.302310664672042,0.040625,0.0,0.0,0.33474122798804096
19,rolling,40,False,local_exact,0.33474122798804096,1.3505101705396438,29.302310664672042,0.040625,0.0,0.0,0.33474122798804096
19,local_greedy,40,False,local_greedy,0.33935117697271455,1.2883666106552913,37.41531652663694,0.015625,0.0,0.0,0.33935117697271455
19,hindsight_oracle,40,False,local_greedy,0.33474122798804096,1.3505101705396438,29.302310664672042,0.040625,0.0,0.0,0.33474122798804096
20,capo_cert,40,True,local_exact,0.33734087904000265,1.1406429805076104,40.03809332906922,0.021875,0.0,0.0,0.33734087904000265
20,expected_loss,40,False,local_exact,0.33734087904000265,1.1406429805076104,40.03809332906922,0.021875,0.0,0.0,0.33734087904000265
20,empirical_chance,40,False,local_exact,0.33734087904000265,1.1406429805076104,40.03809332906922,0.021875,0.0,0.0,0.33734087904000265
20,rolling,40,False,local_exact,0.33734087904000265,1.1406429805076104,40.03809332906922,0.021875,0.0,0.0,0.33734087904000265
20,local_greedy,40,False,local_greedy,0.3640151480545054,0.9841375591058015,44.95296121874556,0.0,0.0,0.0,0.3640151480545054
20,hindsight_oracle,40,False,local_greedy,0.33734087904000265,1.1406429805076104,40.03809332906922,0.021875,0.0,0.0,0.33734087904000265
21,capo_cert,40,True,local_exact,0.2832972372810136,0.9104360839804698,19.432289055669937,0.0125,0.0,0.0,0.2832972372810136
21,expected_loss,40,False,local_exact,0.2832972372810136,0.9104360839804698,19.432289055669937,0.0125,0.0,0.0,0.2832972372810136
21,empirical_chance,40,False,local_exact,0.2832972372810136,0.9104360839804698,19.432289055669937,0.0125,0.0,0.0,0.2832972372810136
21,rolling,40,False,local_exact,0.2832972372810136,0.9104360839804698,19.432289055669937,0.0125,0.0,0.0,0.2832972372810136
21,local_greedy,40,False,local_greedy,0.3358631269837409,0.975005107638012,28.02332379598977,0.0125,0.0,0.0,0.3358631269837409
21,hindsight_oracle,40,False,local_greedy,0.2832972372810136,0.9104360839804698,19.432289055669937,0.0125,0.0,0.0,0.2832972372810136
22,capo_cert,40,True,local_exact,0.2905254592481721,1.0023989433042841,36.97605637245136,0.0125,0.0,0.0,0.2905254592481721
22,expected_loss,40,False,local_exact,0.2905254592481721,1.0023989433042841,36.97605637245136,0.0125,0.0,0.0,0.2905254592481721
22,empirical_chance,40,False,local_exact,0.2905254592481721,1.0023989433042841,36.97605637245136,0.0125,0.0,0.0,0.2905254592481721
22,rolling,40,False,local_exact,0.2905254592481721,1.0023989433042841,36.97605637245136,0.0125,0.0,0.0,0.2905254592481721
22,local_greedy,40,False,local_greedy,0.3041852018662037,1.1347013743497345,36.203019761381114,0.00625,0.0,0.0,0.3041852018662037
22,hindsight_oracle,40,False,local_greedy,0.2905254592481721,1.0023989433042841,36.97605637245136,0.0125,0.0,0.0,0.2905254592481721
23,capo_cert,40,True,local_exact,0.25093016977688076,0.569920576643498,7.9240442927245525,0.009375,0.0,0.0,0.25093016977688076
23,expected_loss,40,False,local_exact,0.25093016977688076,0.569920576643498,7.9240442927245525,0.009375,0.0,0.0,0.25093016977688076
23,empirical_chance,40,False,local_exact,0.25093016977688076,0.569920576643498,7.9240442927245525,0.009375,0.0,0.0,0.25093016977688076
23,rolling,40,False,local_exact,0.25093016977688076,0.569920576643498,7.9240442927245525,0.009375,0.0,0.0,0.25093016977688076
23,local_greedy,40,False,local_greedy,0.25535930853199146,0.5855298774480495,8.055722971795447,0.0,0.0,0.0,0.25535930853199146
23,hindsight_oracle,40,False,local_greedy,0.25093016977688076,0.569920576643498,7.9240442927245525,0.009375,0.0,0.0,0.25093016977688076
24,capo_cert,40,True,local_exact,0.3016034049178516,1.309945029609501,27.675699894090656,0.00625,0.0,0.0,0.3016034049178516
24,expected_loss,40,False,local_exact,0.3016034049178516,1.309945029609501,27.675699894090656,0.00625,0.0,0.0,0.3016034049178516
24,empirical_chance,40,False,local_exact,0.3016034049178516,1.309945029609501,27.675699894090656,0.00625,0.0,0.0,0.3016034049178516
24,rolling,40,False,local_exact,0.3016034049178516,1.309945029609501,27.675699894090656,0.00625,0.0,0.0,0.3016034049178516
24,local_greedy,40,False,local_greedy,0.31652721272807716,1.2983317840079742,33.30628677748493,0.0,0.0,0.0,0.31652721272807716
24,hindsight_oracle,40,False,local_greedy,0.3016034049178516,1.309945029609501,27.675699894090656,0.00625,0.0,0.0,0.3016034049178516
25,capo_cert,40,True,local_exact,0.3051900543985981,1.281016855990519,46.34604681202242,0.0125,0.0,0.0,0.3051900543985981
25,expected_loss,40,False,local_exact,0.3051900543985981,1.281016855990519,46.34604681202242,0.0125,0.0,0.0,0.3051900543985981
25,empirical_chance,40,False,local_exact,0.3051900543985981,1.281016855990519,46.34604681202242,0.0125,0.0,0.0,0.3051900543985981
25,rolling,40,False,local_exact,0.3051900543985981,1.281016855990519,46.34604681202242,0.0125,0.0,0.0,0.3051900543985981
25,local_greedy,40,False,local_greedy,0.3342020916679561,1.2252280297069074,51.078129655318385,0.0125,0.0,0.0,0.3342020916679561
25,hindsight_oracle,40,False,local_greedy,0.3051900543985981,1.281016855990519,46.34604681202242,0.0125,0.0,0.0,0.3051900543985981
26,capo_cert,40,True,local_exact,0.33461582442065085,1.6147706095839223,86.86835864478904,0.00625,0.0,0.0,0.33461582442065085
26,expected_loss,40,False,local_exact,0.33461582442065085,1.6147706095839223,86.86835864478904,0.00625,0.0,0.0,0.33461582442065085
26,empirical_chance,40,False,local_exact,0.33461582442065085,1.6147706095839223,86.86835864478904,0.00625,0.0,0.0,0.33461582442065085
26,rolling,40,False,local_exact,0.33461582442065085,1.6147706095839223,86.86835864478904,0.00625,0.0,0.0,0.33461582442065085
26,local_greedy,40,False,local_greedy,0.35972627305133353,1.5942272836455567,91.28814046805451,0.00625,0.0,0.0,0.35972627305133353
26,hindsight_oracle,40,False,local_greedy,0.33461582442065085,1.6147706095839223,86.86835864478904,0.00625,0.0,0.0,0.33461582442065085
27,capo_cert,40,True,local_exact,0.19865774710115683,0.23538473356017214,0.7441227088583964,0.00625,0.0,0.0,0.19865774710115683
27,expected_loss,40,False,local_exact,0.19865774710115683,0.23538473356017214,0.7441227088583964,0.00625,0.0,0.0,0.19865774710115683
27,empirical_chance,40,False,local_exact,0.19865774710115683,0.23538473356017214,0.7441227088583964,0.00625,0.0,0.0,0.19865774710115683
27,rolling,40,False,local_exact,0.19865774710115683,0.23538473356017214,0.7441227088583964,0.00625,0.0,0.0,0.19865774710115683
27,local_greedy,40,False,local_greedy,0.19970760337804344,0.24046412453927415,0.7441227088583964,0.00625,0.0,0.0,0.19970760337804344
27,hindsight_oracle,40,False,local_greedy,0.19865774710115683,0.23538473356017214,0.7441227088583964,0.00625,0.0,0.0,0.19865774710115683
28,capo_cert,40,True,local_exact,0.22336667897347562,0.5093748064663395,3.54600539368776,0.0125,0.0,0.0,0.22336667897347562
28,expected_loss,40,False,local_exact,0.22336667897347562,0.5093748064663395,3.54600539368776,0.0125,0.0,0.0,0.22336667897347562
28,empirical_chance,40,False,local_exact,0.22336667897347562,0.5093748064663395,3.54600539368776,0.0125,0.0,0.0,0.22336667897347562
28,rolling,40,False,local_exact,0.22336667897347562,0.5093748064663395,3.54600539368776,0.0125,0.0,0.0,0.22336667897347562
28,local_greedy,40,False,local_greedy,0.27077778948710474,0.5290102360981066,9.470311616531013,0.046875,0.0,0.0,0.27077778948710474
28,hindsight_oracle,40,False,local_greedy,0.22336667897347562,0.5093748064663395,3.54600539368776,0.0125,0.0,0.0,0.22336667897347562
29,capo_cert,40,True,local_exact,0.16231431376705954,0.2103076081003871,4.197472809812851,0.0125,0.0,0.0,0.16231431376705954
