workload,method,utility,cvar10,service_violation,deadline_miss,infeasible,wall_s,evaluations,unique_candidates,peak_rss_mb
qaoa_channel,device_aware_sequential,-2.7439802923418086,-3.4431473807312614,0.35000000000000003,0.33749999999999997,0.18541666666666667,0.35890864592511207,42.0,20.166666666666668,181.0625
qaoa_channel,fixed_design_scheduler,-0.005320150808288976,-0.045912779820518036,0.0,0.0,0.0,0.2249106874805875,42.0,9.333333333333334,181.0625
qaoa_channel,joint_mf,-0.006324015260815941,-0.04723087574211742,0.0,0.0,0.0,0.23242320900317276,66.0,24.25,181.0625
qaoa_channel,random,-0.005322044067478434,-0.04590916565536803,0.0,0.0,0.0,0.13738818751880894,42.0,9.916666666666666,181.03125
qaoa_channel,sequential,-0.14285291749817944,-0.4242438409185527,0.052083333333333336,0.052083333333333336,0.0,0.5618414789787494,84.0,39.583333333333336,181.03125
qaoa_place,capo_chance,-0.048428931636957086,-0.31895462489489196,0.012499999999999999,0.012499999999999999,0.0,0.04899445851333435,152.41666666666666,21.916666666666668,181.09375
qaoa_place,capo_joint_only,-0.04731820970638933,-0.1403743499172507,0.0,0.0,0.0,0.15766947949305177,30.0,9.916666666666666,181.09375
qaoa_place,capo_mf_no_rescore,-0.0841775094233711,-0.3136811809527718,0.0020833333333333333,0.0020833333333333333,0.0,0.23229843750596046,54.0,24.833333333333332,181.09375
qaoa_place,classical_only,-0.10133800842061684,-0.2959978345720213,0.0,0.0,0.0,5.145964678376913e-06,0.0,0.0,181.09375
qaoa_place,device_aware_sequential,-2.7626323148199474,-3.668620736729961,0.3020833333333333,0.2895833333333333,0.18541666666666667,0.35473462496884167,42.0,20.166666666666668,181.09375
qaoa_place,fixed_design_scheduler,-0.10133325357882596,-0.2959931571487481,0.0,0.0,0.0,0.2207839375478215,42.0,9.75,181.09375
qaoa_place,joint_mf,-0.0872843595805311,-0.29138720030454196,0.0020833333333333333,0.0020833333333333333,0.0,0.19986897899070755,66.0,24.583333333333332,181.09375
qaoa_place,random,-0.0828279336069682,-0.38006895189427164,0.010416666666666666,0.010416666666666666,0.0,0.21425943751819432,42.0,10.0,181.09375
qaoa_place,sequential,-0.21184145981061575,-0.7074219258113855,0.060416666666666674,0.060416666666666674,0.0,0.5787357504596002,84.0,39.666666666666664,181.09375
vqc,capo_chance,-0.17270769200802458,-0.17834715593676467,0.0,0.0,0.0,1.3295300414902158,96.16666666666667,10.833333333333334,190.578125
vqc,capo_joint_only,-0.1749095550333288,-0.18195956161879556,0.0,0.0,0.0,1.1045366454636678,30.0,10.0,190.578125
vqc,capo_mf_no_rescore,-0.17241877613229997,-0.17705698353515456,0.0,0.0,0.0,0.9237186670070514,54.0,25.75,190.578125
vqc,classical_only,-0.1886538151056498,-0.1887032646479767,0.0,0.0,0.0,5.979032721370459e-06,0.0,0.0,190.578125
vqc,device_aware_sequential,-0.17356493715133992,-0.19531804563961952,0.0020833333333333333,0.0,0.0,1.7267182295327075,42.0,21.75,190.578125
vqc,fixed_design_scheduler,-0.19119716918954044,-0.2391578985305277,0.0020833333333333333,0.0020833333333333333,0.0,0.7690548960235901,42.0,9.75,190.578125
vqc,joint_mf,-0.165952762391387,-0.1783745017737812,0.0,0.0,0.0,1.3307294375263155,66.0,25.75,190.578125
vqc,random,-0.17368605920766697,-0.1833497682659407,0.0,0.0,0.0,1.4563619995024055,42.0,10.0,190.578125
vqc,sequential,-0.16988838035613577,-0.2307261457944535,0.0020833333333333333,0.0020833333333333333,0.0,3.8274417290231213,84.0,58.083333333333336,190.578125
vqc_cancer,capo_chance,-0.061273881359315406,-0.06902046209042906,0.0,0.0,0.0,1.3638533750199713,96.16666666666667,10.833333333333334,195.5625
vqc_cancer,capo_joint_only,-0.06184728807208297,-0.06789741280114445,0.0,0.0,0.0,1.1111955625237897,30.0,10.0,195.5625
vqc_cancer,capo_mf_no_rescore,-0.06594088977364436,-0.07016369688878901,0.0,0.0,0.0,0.9974622295121662,54.0,25.833333333333332,195.5625
vqc_cancer,classical_only,-0.07198714843898311,-0.07203659798131005,0.0,0.0,0.0,6.375019438564777e-06,0.0,0.0,195.5625
vqc_cancer,device_aware_sequential,-0.06155378330272551,-0.07737419261706524,0.0020833333333333333,0.0,0.0,1.2750596460537054,42.0,21.75,195.5625
vqc_cancer,fixed_design_scheduler,-0.0706292457190197,-0.08398335781152817,0.0020833333333333333,0.0,0.0,0.9754537710105069,42.0,9.75,195.5625
vqc_cancer,joint_mf,-0.0620632094664638,-0.0691776823307734,0.0,0.0,0.0,1.0174728955025785,66.0,25.5,195.5625
vqc_cancer,random,-0.06385647202357281,-0.06922475519124068,0.0,0.0,0.0,1.3821283540455624,42.0,10.0,195.5625
vqc_cancer,sequential,-0.06182552347351267,-0.11497704268810031,0.0020833333333333333,0.0020833333333333333,0.0,3.28174985392252,84.0,58.166666666666664,195.5625
