regime,seed,drift_strength,policy,action_loss,service_violation
qpu_opportunity,142,0.0,expire_fallback,0.3,0.0
qpu_opportunity,142,0.5,static_certificate,0.3,0.0
qpu_opportunity,142,0.5,expire_fallback,0.3,0.0
qpu_opportunity,142,1.0,static_certificate,0.3,0.0
qpu_opportunity,142,1.0,expire_fallback,0.3,0.0
qpu_opportunity,142,1.5,static_certificate,0.3,0.0
qpu_opportunity,142,1.5,expire_fallback,0.3,0.0
qpu_opportunity,143,0.0,static_certificate,0.3,0.0
qpu_opportunity,143,0.0,expire_fallback,0.3,0.0
qpu_opportunity,143,0.5,static_certificate,0.3,0.0
qpu_opportunity,143,0.5,expire_fallback,0.3,0.0
qpu_opportunity,143,1.0,static_certificate,0.3,0.0
qpu_opportunity,143,1.0,expire_fallback,0.3,0.0
qpu_opportunity,143,1.5,static_certificate,0.3,0.0
qpu_opportunity,143,1.5,expire_fallback,0.3,0.0
queue_stress,120,0.0,static_certificate,0.3,0.0
queue_stress,120,0.0,expire_fallback,0.3,0.0
queue_stress,120,0.5,static_certificate,0.3,0.0
queue_stress,120,0.5,expire_fallback,0.3,0.0
queue_stress,120,1.0,static_certificate,0.3,0.0
queue_stress,120,1.0,expire_fallback,0.3,0.0
queue_stress,120,1.5,static_certificate,0.3,0.0
queue_stress,120,1.5,expire_fallback,0.3,0.0
queue_stress,121,0.0,static_certificate,0.3,0.0
queue_stress,121,0.0,expire_fallback,0.3,0.0
queue_stress,121,0.5,static_certificate,0.3,0.0
queue_stress,121,0.5,expire_fallback,0.3,0.0
queue_stress,121,1.0,static_certificate,0.3,0.0
queue_stress,121,1.0,expire_fallback,0.3,0.0
queue_stress,121,1.5,static_certificate,0.3,0.0
queue_stress,121,1.5,expire_fallback,0.3,0.0
queue_stress,122,0.0,static_certificate,0.3,0.0
queue_stress,122,0.0,expire_fallback,0.3,0.0
queue_stress,122,0.5,static_certificate,0.3,0.0
queue_stress,122,0.5,expire_fallback,0.3,0.0
queue_stress,122,1.0,static_certificate,0.3,0.0
queue_stress,122,1.0,expire_fallback,0.3,0.0
queue_stress,122,1.5,static_certificate,0.3,0.0
queue_stress,122,1.5,expire_fallback,0.3,0.0
queue_stress,123,0.0,static_certificate,0.3,0.0
queue_stress,123,0.0,expire_fallback,0.3,0.0
queue_stress,123,0.5,static_certificate,0.3,0.0
queue_stress,123,0.5,expire_fallback,0.3,0.0
queue_stress,123,1.0,static_certificate,0.3,0.0
queue_stress,123,1.0,expire_fallback,0.3,0.0
queue_stress,123,1.5,static_certificate,0.3,0.0
queue_stress,123,1.5,expire_fallback,0.3,0.0
queue_stress,124,0.0,static_certificate,0.3,0.0
queue_stress,124,0.0,expire_fallback,0.3,0.0
queue_stress,124,0.5,static_certificate,0.3,0.0
queue_stress,124,0.5,expire_fallback,0.3,0.0
queue_stress,124,1.0,static_certificate,0.3,0.0
queue_stress,124,1.0,expire_fallback,0.3,0.0
queue_stress,124,1.5,static_certificate,0.3,0.0
