experiment,workload,seed,method,budget,search_cost_units,search_cost_modeled_s,cfg_n_qubits,cfg_layers,cfg_reupload,cfg_train_iters,cfg_lr,cfg_shots,cfg_mitigation,cfg_compile_level,cfg_placement,quality_loss,delay_s,deadline_miss,infeasible,energy_j,money,cost_scalar,realized_fail,utility,utility_p10
exp7,vqc,1,joint_bo,60.0,72.0,1.7400667957886693,2,2,0,120,0.05,2048,1,2,classical,0.1375,0.0010000000000000002,0.0,0.0,0.008000000000000002,0.0,0.001048,0.0,-0.1376241591280894,-0.1376606045089182
exp7,vqc,1,joint_mf,60.0,72.72000000000014,3.394695182223676,4,1,0,30,0.15,128,0,0,classical,0.1375,0.0010000000000000002,0.0,0.0,0.008000000000000002,0.0,0.001048,0.0,-0.1376241591280894,-0.1376606045089182
exp7,vqc,2,random,10.0,24.0,3.590058178648955,6,1,1,30,0.15,2048,1,0,remote_sim,0.175,0.020177886261282536,0.0,0.0,9.599999999999999e-05,3.84e-12,0.02017846245328253,0.0,-0.17647651540182813,-0.17780796599512047
exp7,vqc,2,joint_bo,10.0,24.0,2.7133743106504893,6,2,1,120,0.05,128,1,0,classical,0.15,0.0010000000000000002,0.0,0.0,0.008000000000000002,0.0,0.001048,0.0,-0.1501120781442339,-0.15013862396430436
exp7,vqc,2,joint_mf,10.0,24.0,2.251965824399584,2,1,0,120,0.05,128,1,2,classical,0.15,0.0010000000000000002,0.0,0.0,0.008000000000000002,0.0,0.001048,0.0,-0.1501120781442339,-0.15013862396430436
exp7,vqc,2,random,60.0,72.0,9.963512781805244,2,1,1,30,0.05,512,0,0,classical,0.15,0.0010000000000000002,0.0,0.0,0.008000000000000002,0.0,0.001048,0.0,-0.1501120781442339,-0.15013862396430436
exp7,vqc,2,joint_bo,60.0,72.0,8.518776351177499,6,1,0,60,0.15,2048,0,0,classical,0.15,0.0010000000000000002,0.0,0.0,0.008000000000000002,0.0,0.001048,0.0,-0.1501120781442339,-0.15013862396430436
exp7,vqc,2,joint_mf,60.0,72.72000000000014,2.4323250984757436,4,2,1,30,0.05,128,1,1,classical,0.15,0.0010000000000000002,0.0,0.0,0.008000000000000002,0.0,0.001048,0.0,-0.1501120781442339,-0.15013862396430436
exp7,vqc,3,random,10.0,24.0,7.277662886775741,4,1,0,60,0.15,128,1,2,classical,0.1875,0.0010000000000000002,0.0,0.0,0.008000000000000002,0.0,0.001048,0.0,-0.187613917233282,-0.18765932777218092
exp7,vqc,3,joint_bo,10.0,24.0,3.7228347740896797,4,1,0,120,0.15,2048,0,2,local_sim,0.1875,0.00012800000000000002,0.0,0.0,0.0010240000000000002,0.0,0.00013414400000000002,0.0,-0.1875143417390495,-0.1875189279867701
exp7,vqc,3,joint_mf,10.0,24.0,1.2411528236920502,4,3,1,30,0.05,128,0,1,classical,0.1875,0.0010000000000000002,0.0,0.0,0.008000000000000002,0.0,0.001048,0.0,-0.187613917233282,-0.18765932777218092
exp7,vqc,3,random,60.0,72.0,10.685192200843256,6,3,0,60,0.05,2048,1,0,local_sim,0.15625,0.002304,0.0,0.0,0.018432,0.0,0.002414592,0.0,-0.15649137778728756,-0.16276350049059296
exp7,vqc,3,joint_bo,60.0,72.0,10.071575784696215,6,3,0,60,0.05,128,1,1,remote_sim,0.14937499999999998,0.037380437875947525,0.0,0.0,0.000144,5.7600000000000005e-12,0.037381302163947534,0.0,-0.15139246310772997,-0.16467595414396352
exp7,vqc,3,joint_mf,60.0,72.72000000000014,15.328572602206469,4,3,1,120,0.15,512,0,2,local_sim,0.14562499999999998,0.0007679999999999999,0.0,0.0,0.006143999999999999,0.0,0.0008048640000000001,0.0,-0.1457110504342968,-0.17506192438294402
exp7,vqc,4,random,10.0,24.0,14.179826238332826,4,3,1,30,0.15,128,0,1,classical,0.1875,0.0010000000000000002,0.0,0.0,0.008000000000000002,0.0,0.001048,0.0,-0.1876151802631581,-0.18765168703806384
