experiment,workload,seed,method,budget,search_cost_units,search_cost_modeled_s,wall_s,cfg_n_qubits,cfg_layers,cfg_reupload,cfg_train_iters,cfg_lr,cfg_shots,cfg_mitigation,cfg_compile_level,cfg_placement,quality_loss,delay_s,deadline_miss,infeasible,energy_j,money,cost_scalar,realized_fail,utility,utility_p10
exp1,vqc,6,joint_rf,30.0,42.0,1.5266911029032162,0.9198653750354424,6,1,1,30,0.05,2048,0,1,classical,0.2,0.0010000000000000002,0.0,0.0,0.008000000000000002,0.0,0.001048,0.0,-0.2001133666617553,-0.20015072788879565
exp1,vqc,7,feasible_random,30.0,44.39999999999996,0.16401599999999988,0.05253583402372897,2,1,1,30,0.15,2048,1,1,classical,0.2,0.0010000000000000002,0.0,0.0,0.008000000000000002,0.0,0.001048,0.0,-0.20011489957306433,-0.2001549748675904
exp1,vqc,7,joint_rf,30.0,42.0,4.530961364101387,1.5871358329895884,2,2,0,60,0.15,128,1,1,remote_sim,0.180625,0.03510392594838417,0.0,0.0,2.0000000000000003e-06,8.000000000000003e-14,0.03510393795238417,0.0,-0.18292676997667873,-0.20039499045969006
exp1,vqc,8,feasible_random,30.0,44.39999999999996,0.16401599999999988,0.048669958021491766,2,2,1,120,0.15,2048,1,1,classical,0.125,0.0010000000000000002,0.0,0.0,0.008000000000000002,0.0,0.001048,0.0,-0.12511974743190035,-0.1251538671345697
exp1,vqc,8,joint_rf,30.0,42.0,4.576243641104121,1.7068212919402868,6,1,0,30,0.15,512,0,1,local_sim,0.11562500000000002,0.0007679999999999999,0.0,0.0,0.006143999999999999,0.0,0.0008048640000000001,0.0,-0.11570754571824174,-0.1263471676708163
exp1,vqc,9,feasible_random,30.0,44.39999999999996,0.16401599999999988,0.06325379107147455,4,1,0,60,0.05,2048,1,0,classical,0.1875,0.0010000000000000002,0.0,0.0,0.008000000000000002,0.0,0.001048,0.0,-0.187615026357377,-0.18765499475456937
exp1,vqc,9,joint_rf,30.0,42.0,2.1162108487542772,2.0966736669652164,4,3,0,60,0.05,2048,0,1,remote_sim,0.175625,0.02834689074871106,0.0,0.0,2.3999999999999997e-05,9.6e-13,0.02834703479671107,0.0,-0.17751978540650257,-0.1786577266011544
exp1,vqc,10,feasible_random,30.0,44.39999999999996,0.2680074002874989,0.5129831250524148,4,1,1,120,0.15,2048,0,1,classical,0.1875,0.0010000000000000002,0.0,0.0,0.008000000000000002,0.0,0.001048,0.0,-0.1876176414520624,-0.18764045076227864
exp1,vqc,10,joint_rf,30.0,42.0,5.771355494710581,2.551658874959685,6,1,0,30,0.05,512,1,0,local_sim,0.17124999999999999,0.0007679999999999999,0.0,0.0,0.006143999999999999,0.0,0.0008048640000000001,0.0,-0.17134095366581276,-0.17636257658914725
exp1,vqc,11,feasible_random,30.0,44.39999999999996,0.6894576518567476,5.330556917004287,6,2,0,120,0.15,2048,1,1,local_sim,0.25,0.0015359999999999998,0.0,0.0,0.012287999999999999,0.0,0.0016097280000000002,0.0,-0.25017530097045454,-0.2502448861028949
exp1,vqc,11,joint_rf,30.0,42.0,3.2825750402548763,3.008077999926172,6,1,0,60,0.15,512,0,2,remote_sim,0.22749999999999995,0.03732583171065138,0.0,0.0,4.7999999999999994e-05,1.92e-12,0.03732611980665138,0.0,-0.22997150520521398,-0.24164640202186088
exp1,vqc_cancer,0,feasible_random,30.0,44.39999999999996,0.16401599999999988,0.06551962497178465,6,3,0,120,0.15,128,1,1,classical,0.03749999999999998,0.0010000000000000002,0.0,0.0,0.008000000000000002,0.0,0.001048,0.0,-0.03759764523778273,-0.03764679403846648
exp1,vqc_cancer,0,joint_rf,30.0,42.0,0.9195055218959505,1.617274166084826,4,3,0,30,0.15,2048,1,2,local_sim,0.03749999999999998,0.00038399999999999996,0.0,0.0,0.0030719999999999996,0.0,0.00040243200000000004,0.0,-0.037539793137997116,-0.037555734428720976
exp1,vqc_cancer,1,feasible_random,30.0,44.39999999999996,0.22411820996084256,0.08060304203536361,4,2,1,120,0.05,512,1,1,classical,0.07499999999999996,0.0010000000000000002,0.0,0.0,0.008000000000000002,0.0,0.001048,0.0,-0.07512415912808941,-0.07516060450891822
exp1,vqc_cancer,1,joint_rf,30.0,42.0,3.632737479381882,0.6252521669957787,2,3,1,30,0.15,128,1,2,classical,0.07499999999999996,0.0010000000000000002,0.0,0.0,0.008000000000000002,0.0,0.001048,0.0,-0.07512415912808941,-0.07516060450891822
exp1,vqc_cancer,2,feasible_random,30.0,44.39999999999996,0.16401599999999988,0.053722415934316814,6,3,0,120,0.15,128,0,1,classical,0.050000000000000044,0.0010000000000000002,0.0,0.0,0.008000000000000002,0.0,0.001048,0.0,-0.05011207814423395,-0.050138623964304393
exp1,vqc_cancer,2,joint_rf,30.0,42.0,3.192305852822275,2.1208116250345483,6,1,0,30,0.15,2048,0,0,local_sim,0.050000000000000044,0.0007679999999999999,0.0,0.0,0.006143999999999999,0.0,0.0008048640000000001,0.0,-0.05009102771131353,-0.05011964334953332
exp1,vqc_cancer,3,feasible_random,30.0,44.39999999999996,0.16401599999999988,0.05487770796753466,2,2,1,30,0.15,512,1,1,classical,0.0625,0.0010000000000000002,0.0,0.0,0.008000000000000002,0.0,0.001048,0.0,-0.06261391723328205,-0.06265932777218093
