workload,seed,rival,du,incremental_search_s,n_be
qaoa_channel,2,feasible_random,-2.4606363609300046e-05,17.946782117673074,inf
qaoa_channel,3,feasible_random,-3.861583688500279e-06,430.874642845258,inf
qaoa_channel,4,feasible_random,-5.029898843529959e-05,240.5847717115337,inf
qaoa_channel,5,feasible_random,-7.362854714530005e-05,53.3887575019263,inf
qaoa_channel,6,feasible_random,1.361664863069878e-05,127.9528897375228,9396797.494579729
qaoa_channel,7,feasible_random,-4.542000987819994e-05,26.0203996821025,inf
qaoa_channel,8,feasible_random,3.9604982240981634e-06,119.3898500277919,30145159.339132868
qaoa_channel,9,feasible_random,-0.021728808602395698,96.40719147369502,inf
qaoa_channel,10,feasible_random,2.862788448730006e-05,31.856210663758667,1112768.5902844397
qaoa_channel,11,feasible_random,0.00017985699141729997,72.28070544158928,401878.7641892957
qaoa_place,0,feasible_random,-0.9022072124064965,91.34723500292219,inf
qaoa_place,1,feasible_random,-0.0482097420950202,27.963756038107384,inf
qaoa_place,2,feasible_random,0.00020947586502589877,62.647454941705426,299067.65122540464
qaoa_place,3,feasible_random,4.9238747701199626e-05,143.19247756885412,2908125.9019381083
qaoa_place,4,feasible_random,0.020552722414418998,61.27316874361082,2981.2677614243416
qaoa_place,5,feasible_random,0.00037434120971550043,165.22235964106835,441368.34351376235
qaoa_place,6,feasible_random,0.013796514940402602,37.03547013842234,2684.4076419592957
qaoa_place,7,feasible_random,6.0725530169392083e-05,174.07074370486896,2866516.656491985
qaoa_place,8,feasible_random,-0.1257212263154394,195.04428466381006,inf
qaoa_place,9,feasible_random,0.0229884261154695,96.39419917741557,4193.16218923528
qaoa_place,10,feasible_random,0.006433743716239598,49.70029232751604,7724.941265855228
qaoa_place,11,feasible_random,-0.0840499358343806,17.976483007164052,inf
vqc,0,feasible_random,0.0712015881799373,7.597116405458647,106.69869310020968
vqc,1,feasible_random,0.014953824128712295,6.355201058216397,424.98835104085555
vqc,2,feasible_random,-0.13282330580795917,12.706991797807255,inf
vqc,3,feasible_random,-0.004914766244816904,3.9907837382286426,inf
vqc,4,feasible_random,-0.015082832257774792,7.629189986536266,inf
vqc,5,feasible_random,0.06493521603864331,7.423063099837975,114.31490572727853
vqc,6,feasible_random,0.0790262990329417,5.822572781150779,73.67892527427698
vqc,7,feasible_random,0.023375167492162008,5.000482034395061,213.92283225657255
vqc,8,feasible_random,0.00234630179005009,9.7404267708547,4151.395533243299
vqc,9,feasible_random,0.046335981388723,4.537636667514841,97.92900746932678
vqc,10,feasible_random,0.0,1.9155085447773885,inf
vqc,11,feasible_random,-0.06199448918668454,7.691042850733396,inf
vqc_cancer,0,feasible_random,0.0,7.69864780030165,inf
vqc_cancer,1,feasible_random,0.019704172126065893,6.536000121129626,331.706406100838
vqc_cancer,2,feasible_random,-0.0001610049897066007,10.406321806629846,inf
vqc_cancer,3,feasible_random,0.0,4.299395700124996,inf
vqc_cancer,4,feasible_random,-0.0050822310817849985,7.906132291149175,inf
vqc_cancer,5,feasible_random,0.0,8.473280704158583,inf
vqc_cancer,6,feasible_random,-0.003319678424120412,5.812109549150779,inf
vqc_cancer,7,feasible_random,0.0,4.639445249177388,inf
vqc_cancer,8,feasible_random,0.0,6.991486358564168,inf
vqc_cancer,9,feasible_random,0.0,0.9497364837340326,inf
vqc_cancer,10,feasible_random,2.6687786249701695e-05,1.9128340487773894,71674.51173657276
vqc_cancer,11,feasible_random,0.018725560424461704,3.698006929110194,197.48444614129616
qaoa,0,joint_rf,-0.08922462150932281,0.0,inf
qaoa,1,joint_rf,-0.1506620200929335,0.0,inf
qaoa,2,joint_rf,2.1577996150001083e-05,230.31403949204685,10673560.134639068
qaoa,3,joint_rf,2.0219654999875658e-05,1.1707084841482498,57899.52816482028
qaoa,4,joint_rf,9.619037484004389e-06,100.75909337694543,10474966.28893472
qaoa,5,joint_rf,3.817981589870033e-05,0.0,0.0
qaoa,6,joint_rf,-0.6362845830418041,0.0,inf
qaoa,7,joint_rf,-0.0003203015207372019,0.0,inf
qaoa,8,joint_rf,-0.0003665017967576928,0.0,inf
qaoa,9,joint_rf,-0.010467282493050898,0.0,inf
qaoa,10,joint_rf,-0.00026505365813549175,50.913066935709395,inf
qaoa,11,joint_rf,0.014549860023205201,0.0,0.0
qaoa_channel,0,joint_rf,-0.0338254148441079,0.0,inf
qaoa_channel,1,joint_rf,-5.40646161978995e-05,248.28046559844617,inf
qaoa_channel,2,joint_rf,-1.3353143338000017e-05,0.0,inf
qaoa_channel,3,joint_rf,-2.0395717074700274e-05,202.68991742424083,inf
qaoa_channel,4,joint_rf,-4.0913119576000204e-05,160.41247674056532,inf
qaoa_channel,5,joint_rf,-7.443903252520002e-05,0.0,inf
qaoa_channel,6,joint_rf,-6.854901395910058e-05,0.0,inf
qaoa_channel,7,joint_rf,-2.755063217399999e-05,0.0,inf
qaoa_channel,8,joint_rf,-2.0122304239200695e-05,0.0,inf
qaoa_channel,9,joint_rf,-0.0217385698699702,0.0,inf
qaoa_channel,10,joint_rf,3.0944780933899775e-05,21.84556425766315,705953.1073859211
qaoa_channel,11,joint_rf,6.6564686132999235e-06,0.0,0.0
qaoa_place,0,joint_rf,-0.8553528626773678,0.0,inf
qaoa_place,1,joint_rf,-0.0456888083343807,0.0,inf
qaoa_place,2,joint_rf,-0.032115990251523105,0.0,inf
qaoa_place,3,joint_rf,-0.0560519620007193,15.836505177679328,inf
qaoa_place,4,joint_rf,0.010729737294541901,52.596882610610265,4901.973008916604
qaoa_place,5,joint_rf,0.0002453814303367014,140.02983565047768,570661.9097391966
qaoa_place,6,joint_rf,0.0136213875768268,0.0,0.0
qaoa_place,7,joint_rf,-0.06670728103490431,86.97702970287605,inf
qaoa_place,8,joint_rf,1.4997312972053756e-06,0.0,0.0
qaoa_place,9,joint_rf,0.0230368858476043,0.0,0.0
qaoa_place,10,joint_rf,3.895433323299752e-05,0.0,0.0
qaoa_place,11,joint_rf,-0.0597206583686871,0.0,inf
vqc,0,joint_rf,0.016201588179937304,7.669212236208009,473.36175633108127
vqc,1,joint_rf,0.014953824128712295,2.9465817887953576,197.04536869186074
vqc,2,joint_rf,-0.13282330580795917,9.561729396464543,inf
