workload,seed,winsor_floor,search_cost_units,utility,utility_p10,service_violation,quality_loss,delay_s
qaoa_channel,210,none,33.0,-0.00894000202724891,-0.0026384835802369874,0.0,0.008384568426458423,0.005343468947103247
qaoa_channel,211,-2,33.0,-1.2149492154144372,-2.2544469280982615,0.5,0.0,1.0536672459138317
qaoa_channel,211,-4,33.0,-1.2149492154144372,-2.2544469280982615,0.5,0.0,1.0536672459138317
qaoa_channel,211,-6,33.0,-1.2149492154144372,-2.2544469280982615,0.5,0.0,1.0536672459138317
qaoa_channel,211,-10,33.0,-1.2149492154144372,-2.2544469280982615,0.5,0.0,1.0536672459138317
qaoa_channel,211,none,33.0,-1.2149492154144372,-2.2544469280982615,0.5,0.0,1.0536672459138317
qaoa_channel,212,-2,33.0,-0.010197307447366726,-0.011627669878024752,0.0,0.0,0.04186579032987175
qaoa_channel,212,-4,33.0,-0.010197307447366726,-0.011627669878024752,0.0,0.0,0.04186579032987175
qaoa_channel,212,-6,33.0,-0.010197307447366726,-0.011627669878024752,0.0,0.0,0.04186579032987175
qaoa_channel,212,-10,33.0,-0.010197307447366726,-0.011627669878024752,0.0,0.0,0.04186579032987175
qaoa_channel,212,none,33.0,-0.010197307447366726,-0.011627669878024752,0.0,0.0,0.04186579032987175
qaoa_channel,213,-2,33.0,-0.008075514287657227,-0.0008458766804717645,0.0,0.007478267024618052,0.005250730202533305
qaoa_channel,213,-4,33.0,-0.008095689280669538,-0.0008563873617928482,0.0,0.007478267024618052,0.005437520652776584
qaoa_channel,213,-6,33.0,-0.008088407832399532,-0.0008663872771198449,0.0,0.007478267024618052,0.0053728332568425685
qaoa_channel,213,-10,33.0,-0.008097580548716947,-0.0008729753065042003,0.0,0.007478267024618052,0.005451166594866663
qaoa_channel,213,none,33.0,-0.008099297071180159,-0.0009062456415923119,0.0,0.007478267024618052,0.005470677017001435
qaoa_channel,214,-2,33.0,-0.0007125049005033825,-0.0009382974744033827,0.0,0.0,0.006070604518754408
qaoa_channel,214,-4,33.0,-0.0006646599407254695,-0.0008591812571144396,0.0,0.0,0.005633645429043099
qaoa_channel,214,-6,33.0,-0.0006595700584408497,-0.0008786895795378995,0.0,0.0,0.005575885210419074
qaoa_channel,214,-10,33.0,-0.0006637827275460517,-0.0008725122015574984,0.0,0.0,0.005608739680610597
qaoa_channel,214,none,33.0,-0.0006644929147522121,-0.0008985550466065848,0.0,0.0,0.005606728984275833
qaoa_channel,215,-2,33.0,-0.0005890902941066335,-0.0008150337308733325,0.0,0.0,0.00542181299533695
qaoa_channel,215,-4,33.0,-0.0006019173190939827,-0.000843934740157356,0.0,0.0,0.005533041839953512
qaoa_channel,215,-6,33.0,-0.0005876118570212445,-0.0008192377641071762,0.0,0.0,0.005415990046458319
qaoa_channel,215,-10,33.0,-0.0005890702773778034,-0.0008186989355039469,0.0,0.0,0.005430854420410469
qaoa_channel,215,none,33.0,-0.000602955409890125,-0.0008282842527993803,0.0,0.0,0.00556242695893161
qaoa_place,210,-2,33.0,-0.12658158602782593,-0.2985280026852617,0.0,0.12605966101037291,0.005037063005147502
qaoa_place,210,-4,33.0,-0.12657174185018993,-0.29851771608638833,0.0,0.12605966101037291,0.004922968684695661
qaoa_place,210,-6,33.0,-0.12657828998658543,-0.29853132702593355,0.0,0.12605966101037291,0.00499831244815141
qaoa_place,210,-10,33.0,-0.12658158516777468,-0.2985300598015681,0.0,0.12605966101037291,0.0050170731847174466
qaoa_place,210,none,33.0,-0.1265860620361098,-0.2985477935337565,0.0,0.12605966101037291,0.005096656299429014
qaoa_place,211,-2,33.0,-1.2149492154144372,-2.2544469280982615,0.5,0.0,1.0536672459138317
qaoa_place,211,-4,33.0,-1.2149492154144372,-2.2544469280982615,0.5,0.0,1.0536672459138317
qaoa_place,211,-6,33.0,-1.2149492154144372,-2.2544469280982615,0.5,0.0,1.0536672459138317
qaoa_place,211,-10,33.0,-1.2149492154144372,-2.2544469280982615,0.5,0.0,1.0536672459138317
qaoa_place,211,none,33.0,-1.2149492154144372,-2.2544469280982615,0.5,0.0,1.0536672459138317
qaoa_place,212,-2,33.0,-0.012650840491766013,-0.015401007777540615,0.0,0.0,0.08186579032987176
qaoa_place,212,-4,33.0,-0.012650840491766013,-0.015401007777540615,0.0,0.0,0.08186579032987176
qaoa_place,212,-6,33.0,-0.012650840491766013,-0.015401007777540615,0.0,0.0,0.08186579032987176
qaoa_place,212,-10,33.0,-0.012650840491766013,-0.015401007777540615,0.0,0.0,0.08186579032987176
qaoa_place,212,none,33.0,-0.012650840491766013,-0.015401007777540615,0.0,0.0,0.08186579032987176
qaoa_place,213,-2,33.0,-0.0928457925041351,-0.338543331310428,0.0,0.09225726449303982,0.005183447676245123
qaoa_place,213,-4,33.0,-0.0928277657579474,-0.3385255251120472,0.0,0.09225726449303982,0.005031260574469343
qaoa_place,213,-6,33.0,-0.09283793405841335,-0.33853223059641074,0.0,0.09225726449303982,0.005120750021887943
qaoa_place,213,-10,33.0,-0.09284382435873342,-0.33854281148991255,0.0,0.09225726449303982,0.0051682922639884055
