experiment,workload,seed,method,budget,search_cost_units,search_cost_modeled_s,cfg_p,cfg_opt_iters,cfg_warm_start,cfg_shots,cfg_mitigation,cfg_compile_level,cfg_placement,quality_loss,delay_s,deadline_miss,infeasible,energy_j,money,cost_scalar,realized_fail,utility,utility_p10,size,eval_wall_s,search_wall_s
exp7,qaoa,8,joint_bo,60.0,72.0,336.37783470230795,1.0,20.0,1.0,2048.0,0.0,0.0,remote_sim,0.0,0.06508400831768538,0.0,0.0,1.256144,5.024576000000001e-08,0.07262338460568533,0.0,-0.012069318727491592,-0.014863328673892083,,,
exp7,qaoa,8,joint_mf,60.0,72.72000000000014,331.5063495570701,2.0,80.0,1.0,2048.0,0.0,1.0,local_sim,0.0,0.24660800000000002,0.0,0.0,1.9728640000000002,0.0,0.25844518400000005,0.0,-0.02916335498162423,-0.04005917470020535,,,
exp7,qaoa,9,random,10.0,24.0,318.4468761892644,2.0,20.0,0.0,512.0,1.0,1.0,classical,0.07235210489237658,0.005348792066797614,0.0,0.1,0.04279033653438091,0.0,0.0056055340860039,0.0,-0.5729525739164502,-0.7291301244271722,,,
exp7,qaoa,9,joint_bo,10.0,24.0,48.53143247294683,1.0,20.0,1.0,2048.0,1.0,1.0,local_sim,0.0,0.148304,0.0,0.0,1.186432,0.0,0.15542259199999997,0.0,-0.016281050295612078,-0.024089239698129348,,,
exp7,qaoa,9,joint_mf,10.0,24.0,9.041167902721646,2.0,20.0,1.0,2048.0,1.0,2.0,remote_sim,0.0,0.2370380657220778,0.0,0.0,1.2622880000000003,5.049152e-08,0.24461431829807787,0.0,-0.022395463451127466,-0.034424599099012264,,,
exp7,qaoa,9,random,60.0,72.0,300.08657817046964,3.0,80.0,1.0,128.0,0.0,2.0,classical,0.07235210489237658,0.005850583052961156,0.0,0.1,0.046804664423689246,0.0,0.006131411039503291,0.0,-0.5730070658130291,-0.7291512499202324,,,
exp7,qaoa,9,joint_bo,60.0,72.0,130.82384793303783,3.0,20.0,0.0,512.0,1.0,2.0,classical,0.07235210489237658,0.005430072749732062,0.0,0.1,0.0434405819978565,0.0,0.005690716241719201,0.0,-0.5729654319684636,-0.7291445783342102,,,
exp7,qaoa,9,joint_mf,60.0,72.72000000000014,102.01131889384946,1.0,20.0,1.0,2048.0,1.0,0.0,remote_sim,0.0,0.04701348972207779,0.0,0.0,1.256144,5.024576000000001e-08,0.054552866010077805,0.0,-0.010618564960480416,-0.013574705765428456,,,
exp7,qaoa,10,random,10.0,24.0,27.76297594455022,3.0,20.0,1.0,2048.0,1.0,0.0,local_sim,0.003736840147316011,0.30491199999999996,0.0,0.0,2.4392959999999997,0.0,0.31954777600000006,0.0,-0.038218730227176874,-0.04938414808632583,,,
exp7,qaoa,10,joint_bo,10.0,24.0,3.972957470799505,3.0,20.0,0.0,2048.0,1.0,0.0,classical,0.06990408798997225,0.0053458229813259095,0.0,0.0,0.042766583850607276,0.0,0.005602422484429553,0.0,-0.07053768881969336,-0.10816661310229389,,,
exp7,qaoa,10,joint_mf,10.0,24.0,3.2201111730239154,2.0,20.0,1.0,2048.0,0.0,1.0,classical,0.06990408798997225,0.00535644797491841,0.0,0.0,0.04285158379934728,0.0,0.005613557477714494,0.0,-0.07053795722718074,-0.10813673182476476,,,
exp7,qaoa,10,random,60.0,72.0,248.30394818659852,2.0,20.0,1.0,512.0,0.0,1.0,remote_sim,0.026157881031212075,0.09131878130571022,0.0,0.0,1.2622880000000003,5.049152e-08,0.09889503388171024,0.0,-0.039903533711841035,-0.08822034958891722,,,
exp7,qaoa,10,joint_bo,60.0,72.0,176.7803439508849,2.0,20.0,1.0,2048.0,0.0,1.0,classical,0.06990408798997225,0.005495104705914855,0.0,0.0,0.04396083764731884,0.0,0.005758869731798768,0.0,-0.07055340845754068,-0.10815439842828381,,,
exp7,qaoa,10,joint_mf,60.0,72.72000000000014,17.393888682371394,3.0,80.0,1.0,2048.0,0.0,0.0,remote_sim,0.004810390558196685,0.10345239197900344,0.0,0.0,1.2684320000000002,5.073728e-08,0.11106552084300345,0.05,-0.019179085521903567,-0.013918871183492136,,,
exp7,qaoa,11,random,10.0,24.0,13.176701162424573,2.0,80.0,1.0,512.0,0.0,1.0,classical,0.01268773082537652,0.005448874726425856,0.0,0.0,0.04359099781140685,0.0,0.005710420713294298,0.0,-0.013284701149131658,-0.043389613190610805,,,
exp7,qaoa,11,joint_bo,10.0,24.0,76.5621981080912,1.0,80.0,1.0,2048.0,0.0,0.0,qpu_B,0.0,1.141272558158922,0.4,0.0,7.048,0.0020480000000000003,1.2859605581589217,0.0,-1.0239951653411896,-2.248104857755461,,,
exp7,qaoa,11,joint_mf,10.0,24.0,127.97325478984594,1.0,80.0,1.0,128.0,0.0,2.0,qpu_B,0.13191607236804703,1.105776062843486,0.45,0.25,5.128,0.00012800000000000002,1.142944062843486,0.0,-2.3963022953341353,-7.399238435112538,,,
exp7,qaoa,11,random,60.0,72.0,271.14855959175117,1.0,40.0,0.0,128.0,0.0,2.0,classical,0.01268773082537652,0.0056088127312250435,0.0,0.0,0.04487050184980035,0.0,0.005878035742323846,0.0,-0.013301763672776343,-0.04341491681740734,,,
exp7,qaoa,11,joint_bo,60.0,72.0,120.74362276505613,3.0,20.0,1.0,2048.0,1.0,1.0,remote_sim,0.0,0.0984979033223615,0.0,0.0,1.2684320000000002,5.073728e-08,0.10611103218636146,0.0,-0.012600352300985804,-0.01686272019783734,,,
exp7,qaoa,11,joint_mf,60.0,72.72000000000014,245.8595351924526,3.0,80.0,1.0,128.0,1.0,2.0,classical,0.01268773082537652,0.005885323422262445,0.0,0.0,0.04708258737809956,0.0,0.006167818946531043,0.0,-0.013333580502138962,-0.04344740816130571,,,
exp8,qaoa,0,,,24.0,,,,,,,,,,,,,,,,,,,6.0,0.0036709513321208456,0.5281219169264659
exp8,qaoa,1,,,24.0,,,,,,,,,,,,,,,,,,,6.0,0.001078989579885577,0.025988916982896626
exp8,qaoa,2,,,24.0,,,,,,,,,,,,,,,,,,,6.0,0.001090593752451241,0.031659499974921346
exp8,qaoa,3,,,24.0,,,,,,,,,,,,,,,,,,,6.0,0.001093256917859738,0.017581333057023585
exp8,qaoa,0,,,24.0,,,,,,,,,,,,,,,,,,,8.0,0.005760975667120268,0.021445207996293902
exp8,qaoa,1,,,24.0,,,,,,,,,,,,,,,,,,,8.0,0.0015243472492632766,0.022427082993090153
exp8,qaoa,2,,,24.0,,,,,,,,,,,,,,,,,,,8.0,0.001618548665040483,0.2823896670015529
exp8,qaoa,3,,,24.0,,,,,,,,,,,,,,,,,,,8.0,0.0015239617496263236,0.6016299170441926
exp8,qaoa,0,,,24.0,,,,,,,,,,,,,,,,,,,9.0,0.007829791662516072,0.3630763749824837
exp8,qaoa,1,,,24.0,,,,,,,,,,,,,,,,,,,9.0,0.002005628504169484,0.7831140419002622
exp8,qaoa,2,,,24.0,,,,,,,,,,,,,,,,,,,9.0,0.002060006915902098,0.018064207979477942
exp8,qaoa,3,,,24.0,,,,,,,,,,,,,,,,,,,9.0,0.0020423263291983553,0.03505691699683666
exp8,qaoa,0,,,24.0,,,,,,,,,,,,,,,,,,,12.0,0.008011861083408197,0.020607124897651374
exp8,qaoa,1,,,24.0,,,,,,,,,,,,,,,,,,,12.0,0.00798085067071952,0.2488601669901982
exp8,qaoa,2,,,24.0,,,,,,,,,,,,,,,,,,,12.0,0.007972579915076494,0.10156054201070219
exp8,qaoa,3,,,24.0,,,,,,,,,,,,,,,,,,,12.0,0.008113826411621025,0.14553620805963874
